Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
VBA1 CDS;0,447483479;0,232141066;0,113775861;VBA1;YMR088C
hypothetical protein CDS;0,447483479;-0,247484069;0,113623824;;YLR046C
GAS4 CDS;0,447483479;-0,258924276;0,113727248;GAS4;YOL132W
FYV12 CDS;0,447483479;-0,400936744;0,113536134;FYV12;YOR183W
HXT14 CDS;0,447590895;0,331609698;0,114291648;HXT14;YNL318C
hypothetical protein CDS;0,447590895;0,250307066;0,114316992;;YGR161C-D
ORM2 CDS;0,447590895;0,24643082;0,114204273;ORM2;YLR350W
NOP4 CDS;0,447590895;-0,246085316;0,114347489;NOP4;YPL043W
PRP43 CDS;0,447590895;-0,271445393;0,114007682;PRP43;YGL120C
hypothetical protein CDS;0,447590895;-0,295625747;0,11405275;;YPR127W
NOP56 CDS;0,447590895;-0,338918413;0,11433216;NOP56;YLR197W
hypothetical protein CDS;0,448103184;-0,35543496;0,114553829;;YBL028C
PAU24 CDS;0,448402489;-0,298004023;0,114705857;PAU24;YBR301W
HCR1 CDS;0,449194389;-0,236321018;0,114984081;HCR1;YLR192C
ECM23 CDS;0,44925789;0,318283317;0,115126214;ECM23;YPL021W
ALG9 CDS;0,44925789;0,257056457;0,115151652;ALG9;YNL219C
BUD9 CDS;0,449446596;-0,242674829;0,11527571;BUD9;YGR041W
GUA1 CDS;0,450258842;-0,333672352;0,115559864;GUA1;YMR217W
PIL1 CDS;0,450820899;-0,272899363;0,115780039;PIL1;YGR086C
FAR7 CDS;0,454042412;0,252971724;0,116683853;FAR7;YFR008W
RIO2 CDS;0,45420574;0,236967877;0,11687881;RIO2;YNL207W
DIC1 CDS;0,45420574;-0,262493702;0,11680983;DIC1;YLR348C
RTC3 CDS;0,45483035;0,333776202;0,117345924;RTC3;YHR087W
APC11 CDS;0,45483035;-0,311423849;0,117206266;APC11;YDL008W
NADHX epimerase CDS;0,45483035;-0,329071872;0,117341723;;YNL200C
COS4 CDS;0,45483035;-0,33011204;0,117196419;COS4;YFL062W
RIO1 CDS;0,456047091;0,245213326;0,117736644;RIO1;YOR119C
ASR1 CDS;0,456467291;0,26576883;0,118065572;ASR1;YPR093C
PHO5 CDS;0,456467291;0,243397335;0,11795467;PHO5;YBR093C
AIM37 CDS;0,456467291;-0,31940636;0,118075743;AIM37;YNL100W
hypothetical protein CDS;0,460220467;-0,27063573;0,119124092;;YPR147C
hypothetical protein CDS;0,461412863;0,249108839;0,119510438;;YHR122W
hypothetical protein CDS;0,461577936;0,236971467;0,119630927;;YDR003W-A
SUI2 CDS;0,462802478;-0,227595139;0,120026241;SUI2;YJR007W
TMA19 CDS;0,463075427;-0,379449449;0,120175014;TMA19;YKL056C
EXO1 CDS;0,463121935;-0,304757126;0,120265076;EXO1;YOR033C
ADI1 CDS;0,463924628;-0,227782111;0,120551651;ADI1;YMR009W
SXM1 CDS;0,46549915;-0,2660996;0,121039186;SXM1;YDR395W
SWE1 CDS;0,46614457;-0,236097835;0,121364012;SWE1;YJL187C
