Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
MCT1 CDS;0,912012764;0,073996048;0,664477897;MCT1;YOR221C
ATG2 CDS;0,912012764;0,07244792;0,665250748;ATG2;YNL242W
SPC97 CDS;0,912012764;0,071581826;0,663211394;SPC97;YHR172W
KAR9 CDS;0,912012764;0,069618849;0,663584797;KAR9;YPL269W
ABD1 CDS;0,912012764;0,067824553;0,66522915;ABD1;YBR236C
NCS6 CDS;0,912012764;0,064517891;0,664825813;NCS6;YGL211W
NMD3 CDS;0,912012764;-0,063596941;0,664510676;NMD3;YHR170W
LAA1 CDS;0,912012764;-0,064351756;0,66452048;LAA1;YJL207C
MGR3 CDS;0,912012764;-0,064472678;0,664441606;MGR3;YMR115W
SPT3 CDS;0,912012764;-0,06595303;0,665655662;SPT3;YDR392W
SCS2 CDS;0,912012764;-0,06797218;0,6653561;SCS2;YER120W
NUP100 CDS;0,912012764;-0,068817459;0,664113158;NUP100;YKL068W
AIM4 CDS;0,912012764;-0,084116898;0,665554011;AIM4;YBR194W
PPZ2 CDS;0,912114483;0,075444415;0,66588351;PPZ2;YDR436W
MIF2 CDS;0,912410361;-0,074886254;0,66625317;MIF2;YKL089W
AUR1 CDS;0,912578792;0,063274634;0,666529845;AUR1;YKL004W
MRPL31 CDS;0,913527961;-0,082481756;0,667376944;MRPL31;YKL138C
ENB1 CDS;0,913746258;0,071774872;0,667979706;ENB1;YOL158C
APN2 CDS;0,913746258;0,071322698;0,668305;APN2;YBL019W
PPM1 CDS;0,913746258;0,063878108;0,668115543;PPM1;YDR435C
PGA3 CDS;0,913746258;0,062773696;0,667890547;PGA3;YML125C
CGI121 CDS;0,913746258;-0,099322468;0,668305827;CGI121;YML036W
DRS1 CDS;0,913753783;-0,080952109;0,668465213;DRS1;YLL008W
DAS2 CDS;0,914404949;0,073616903;0,669095572;DAS2;YDR020C
hypothetical protein CDS;0,914587128;0,098018062;0,6693829;;YDL022C-A
BUD5 CDS;0,914746664;0,066022025;0,669653713;BUD5;YCR038C
BNA7 CDS;0,915637622;-0,065266722;0,670614351;BNA7;YDR428C
NHP6B CDS;0,915637622;-0,065779178;0,670603052;NHP6B;YBR089C-A
PAN1 CDS;0,915658387;-0,077217524;0,670783763;PAN1;YIR006C
MPS2 CDS;0,915722625;0,078130406;0,671060585;MPS2;YGL075C
TFA1 CDS;0,915722625;0,062760017;0,671293464;TFA1;YKL028W
MSK1 CDS;0,915722625;-0,071044033;0,671151134;MSK1;YNL073W
hypothetical protein CDS;0,915786993;-0,081337704;0,671494875;;YDL121C
COS3 CDS;0,915921783;0,088733662;0,671838797;COS3;YML132W
HFA1 CDS;0,915921783;-0,063960807;0,671902204;HFA1;YMR207C
PMP1 CDS;0,916132329;0,066130701;0,672726055;PMP1;YCR024C-A
ADH4 CDS;0,916132329;0,065011899;0,6726015;ADH4;YGL256W
SKI2 CDS;0,916132329;0,064848604;0,672629201;SKI2;YLR398C
PYC1 CDS;0,916132329;-0,064206711;0,67236265;PYC1;YGL062W
SLX9 CDS;0,916132329;-0,086177141;0,672828072;SLX9;YGR081C
hypothetical protein CDS;0,916184727;0,112398327;0,673688784;;YMR242W-A
ROD1 CDS;0,916184727;0,078464756;0,673623249;ROD1;YOR018W
MFM1 CDS;0,916184727;0,06688637;0,673792304;MFM1;YPL060W
RLF2 CDS;0,916184727;-0,063351203;0,673422671;RLF2;YPR018W
RVS161 CDS;0,916184727;-0,064508406;0,673218302;RVS161;YCR009C
EFB1 CDS;0,916184727;-0,070175579;0,673791478;EFB1;YAL003W
CAN1 CDS;0,916255912;-0,063580381;0,67399896;CAN1;YEL063C
DOM34 CDS;0,916302493;-0,076019719;0,674187536;DOM34;YNL001W
PRB1 CDS;0,916564934;0,083182436;0,674534988;PRB1;YEL060C
MED8 CDS;0,916765581;0,065547782;0,674991431;MED8;YBR193C
CAP2 CDS;0,916765581;-0,062475687;0,674957973;CAP2;YIL034C
SHG1 CDS;0,917555108;0,077260351;0,675727263;SHG1;YBR258C
COS8 CDS;0,918050706;0,097278502;0,686579436;COS8;YHL048W
RRG8 CDS;0,918050706;0,095506804;0,678463917;RRG8;YPR116W
WHI5 CDS;0,918050706;0,08160272;0,685423145;WHI5;YOR083W
GYP1 CDS;0,918050706;0,077431931;0,681116387;GYP1;YOR070C
UBR1 CDS;0,918050706;0,075696366;0,681774457;UBR1;YGR184C
GSC2 CDS;0,918050706;0,075027922;0,680579465;GSC2;YGR032W
hypothetical protein CDS;0,918050706;0,074671905;0,682323297;;YHL042W
hypothetical protein CDS;0,918050706;0,074078749;0,678417989;;YBL113C
CYC2 CDS;0,918050706;0,073882698;0,686032247;CYC2;YOR037W
AIM36 CDS;0,918050706;0,073608566;0,686160615;AIM36;YMR157C
ICE2 CDS;0,918050706;0,073108471;0,677210491;ICE2;YIL090W
ESC2 CDS;0,918050706;0,072959334;0,684740338;ESC2;YDR363W
PEX30 CDS;0,918050706;0,070100644;0,686301134;PEX30;YLR324W
HMRA1 CDS;0,918050706;0,069755321;0,683201058;HMRA1;YCR097W
hypothetical protein CDS;0,918050706;0,068073498;0,676567678;;YPR084W
YHC1 CDS;0,918050706;0,067900004;0,679830074;YHC1;YLR298C
VPS1 CDS;0,918050706;0,067832179;0,684251461;VPS1;YKR001C
MAG1 CDS;0,918050706;0,066735213;0,679370481;MAG1;YER142C
hypothetical protein CDS;0,918050706;0,066085729;0,685618881;;YKL222C
MAK10 CDS;0,918050706;0,06586735;0,677812162;MAK10;YEL053C
DBP10 CDS;0,918050706;0,065842194;0,680059137;DBP10;YDL031W
hypothetical protein CDS;0,918050706;0,065511512;0,679282285;;YLR290C
hypothetical protein CDS;0,918050706;0,065290017;0,687069272;;YJL070C
CDC4 CDS;0,918050706;0,065026162;0,684676288;CDC4;YFL009W
TES1 CDS;0,918050706;0,064464094;0,680525717;TES1;YJR019C
ILV1 CDS;0,918050706;0,06433822;0,680626621;ILV1;YER086W
ATG20 CDS;0,918050706;0,064265607;0,67657939;ATG20;YDL113C
BUG1 CDS;0,918050706;0,06425656;0,681044772;BUG1;YDL099W
DID2 CDS;0,918050706;0,063120671;0,681687991;DID2;YKR035W-A
TAF14 CDS;0,918050706;0,062369153;0,676819996;TAF14;YPL129W
SLM2 CDS;0,918050706;0,061691962;0,685694193;SLM2;YNL047C
TRM7 CDS;0,918050706;0,060556589;0,686753786;TRM7;YBR061C
hypothetical protein CDS;0,918050706;0,060315817;0,685707375;;YIL151C
RMD8 CDS;0,918050706;0,060290335;0,68583081;RMD8;YFR048W
SEC9 CDS;0,918050706;-0,059062987;0,685886915;SEC9;YGR009C
SWP82 CDS;0,918050706;-0,059672559;0,68511604;SWP82;YFL049W
LSM1 CDS;0,918050706;-0,059711593;0,68469255;LSM1;YJL124C
BNA2 CDS;0,918050706;-0,05992215;0,684022789;BNA2;YJR078W
SIT4 CDS;0,918050706;-0,060388831;0,686536387;SIT4;YDL047W
POP2 CDS;0,918050706;-0,060969576;0,682338578;POP2;YNR052C
ARO3 CDS;0,918050706;-0,061048139;0,678387806;ARO3;YDR035W
hypothetical protein CDS;0,918050706;-0,061256355;0,681719839;;YOL098C
TFA2 CDS;0,918050706;-0,062117247;0,685869794;TFA2;YKR062W
POG1 CDS;0,918050706;-0,062181157;0,683834515;POG1;YIL122W
RRP4 CDS;0,918050706;-0,062253745;0,686962579;RRP4;YHR069C
BNI4 CDS;0,918050706;-0,062546545;0,684005358;BNI4;YNL233W
NUS1 CDS;0,918050706;-0,062932782;0,680958972;NUS1;YDL193W
ASI3 CDS;0,918050706;-0,06328774;0,678808766;ASI3;YNL008C
RGD2 CDS;0,918050706;-0,063425776;0,684095303;RGD2;YFL047W
YME1 CDS;0,918050706;-0,063818175;0,678491425;YME1;YPR024W
hypothetical protein CDS;0,918050706;-0,064393567;0,685433897;;YGR015C
TOA1 CDS;0,918050706;-0,064798981;0,67720004;TOA1;YOR194C
GIS4 CDS;0,918050706;-0,06554643;0,683114193;GIS4;YML006C
COG2 CDS;0,918050706;-0,066011316;0,67735481;COG2;YGR120C
SSA2 CDS;0,918050706;-0,066744768;0,685145107;SSA2;YLL024C
BSP1 CDS;0,918050706;-0,068438323;0,67859771;BSP1;YPR171W
hypothetical protein CDS;0,918050706;-0,069071633;0,678839933;;YPR036W-A
CCR4 CDS;0,918050706;-0,069156684;0,684711053;CCR4;YAL021C
UTP4 CDS;0,918050706;-0,070482003;0,682908936;UTP4;YDR324C
PAM16 CDS;0,918050706;-0,070951745;0,681244327;PAM16;YJL104W
SUM1 CDS;0,918050706;-0,072901799;0,685954632;SUM1;YDR310C
APE1 CDS;0,918050706;-0,073903969;0,677224142;APE1;YKL103C
hypothetical protein CDS;0,918050706;-0,074290137;0,680070388;;YMR279C
RTR2 CDS;0,918050706;-0,074535789;0,683433457;RTR2;YDR066C
hypothetical protein CDS;0,918050706;-0,076407254;0,682673799;;YKR070W
YVH1 CDS;0,918050706;-0,076726906;0,68032115;YVH1;YIR026C
hypothetical protein CDS;0,918050706;-0,080950133;0,678296598;;YER121W
UBC4 CDS;0,918050706;-0,084917508;0,686462804;UBC4;YBR082C
hypothetical protein CDS;0,918050706;-0,090835765;0,678753859;;YLR157C-C
hypothetical protein CDS;0,918050706;-0,105250244;0,685003572;;YBR182C-A
hypothetical protein CDS;0,918050706;-0,107833156;0,687003695;;YJL052C-A
IVY1 CDS;0,918061715;-0,067778282;0,687232119;IVY1;YDR229W
RVS167 CDS;0,918128756;-0,072592349;0,687436923;RVS167;YDR388W
ATP23 CDS;0,918201564;0,075974394;0,688922866;ATP23;YNR020C
FYV10 CDS;0,918201564;0,074353894;0,689255003;FYV10;YIL097W
POP3 CDS;0,918201564;0,068572144;0,689572391;POP3;YNL282W
hypothetical protein CDS;0,918201564;0,067378952;0,68882729;;YGR210C
MST27 CDS;0,918201564;0,06693417;0,689436644;MST27;YGL051W
STE7 CDS;0,918201564;0,063111325;0,689576758;STE7;YDL159W
SAC3 CDS;0,918201564;0,062725445;0,688013343;SAC3;YDR159W
COA3 CDS;0,918201564;0,060931198;0,688339601;COA3;YJL062W-A
LST4 CDS;0,918201564;-0,05848672;0,689578265;LST4;YKL176C
RLI1 CDS;0,918201564;-0,059417043;0,688058011;RLI1;YDR091C
SPR6 CDS;0,918201564;-0,060661863;0,688209833;SPR6;YER115C
TRL1 CDS;0,918201564;-0,064371228;0,688705796;TRL1;YJL087C
KIN82 CDS;0,918201564;-0,072609482;0,689656277;KIN82;YCR091W
hypothetical protein CDS;0,918201564;-0,077673133;0,689094291;;YCR099C
PHO87 CDS;0,918696798;0,063746309;0,690672685;PHO87;YCR037C
STE5 CDS;0,918696798;0,060883534;0,691169931;STE5;YDR103W
MRPL40 CDS;0,918696798;0,05990512;0,690564582;MRPL40;YPL173W
LST8 CDS;0,918696798;0,059479404;0,691265964;LST8;YNL006W
ARF2 CDS;0,918696798;0,057704573;0,690991427;ARF2;YDL137W
PEX19 CDS;0,918696798;-0,059733642;0,690998154;PEX19;YDL065C
SED1 CDS;0,918696798;-0,061107479;0,690435918;SED1;YDR077W
APL6 CDS;0,918696798;-0,064656772;0,690898958;APL6;YGR261C
PEX18 CDS;0,91907008;0,073820448;0,692868405;PEX18;YHR160C
hypothetical protein CDS;0,91907008;0,068059214;0,691913102;;YBR138C
RSA4 CDS;0,91907008;0,067145617;0,69231805;RSA4;YCR072C
CDC1 CDS;0,91907008;0,062787505;0,693087609;CDC1;YDR182W
YEF1 CDS;0,91907008;0,05993677;0,692523605;YEF1;YEL041W
hypothetical protein CDS;0,91907008;0,059126664;0,691845851;;YDR161W
SLX4 CDS;0,91907008;-0,060444794;0,692471614;SLX4;YLR135W
hypothetical protein CDS;0,91907008;-0,069273438;0,693094614;;YBR197C
hypothetical protein CDS;0,91907008;-0,071353352;0,692135826;;YCR090C
hypothetical protein CDS;0,91907008;-0,105601576;0,692948856;;YOR394C-A
FAB1 CDS;0,919323873;-0,058513206;0,693595647;FAB1;YFR019W
SSB2 CDS;0,919323873;-0,060506802;0,693547112;SSB2;YNL209W
hypothetical protein CDS;0,919638599;-0,070085634;0,693987969;;YMR085W
PRM9 CDS;0,920324231;0,062507107;0,694752678;PRM9;YAR031W
COA1 CDS;0,920324231;-0,06447173;0,694815346;COA1;YIL157C
SCP1 CDS;0,920430892;-0,060860011;0,695050879;SCP1;YOR367W
hypothetical protein CDS;0,92107567;0,099189252;0,696308209;;YIL046W-A
PGI1 CDS;0,92107567;0,070829577;0,696332724;PGI1;YBR196C
hypothetical protein CDS;0,92107567;0,059769371;0,696140081;;YOR022C
KAP120 CDS;0,92107567;-0,057474178;0,69656796;KAP120;YPL125W
NOC4 CDS;0,92107567;-0,060194417;0,696422128;NOC4;YPR144C
RAD3 CDS;0,92107567;-0,060405903;0,696623583;RAD3;YER171W
TPM1 CDS;0,92107567;-0,077364781;0,69579033;TPM1;YNL079C
hypothetical protein CDS;0,921118684;0,065263903;0,697597851;;YBR200W-A
RBK1 CDS;0,921118684;0,062189292;0,697127687;RBK1;YCR036W
GLE1 CDS;0,921118684;0,061752482;0,697121505;GLE1;YDL207W
CAT8 CDS;0,921118684;-0,067597385;0,697741974;CAT8;YMR280C
NAG1 CDS;0,921118684;-0,070875986;0,697560388;NAG1;YGR031C-A
UNG1 CDS;0,921118684;-0,075678057;0,697384286;UNG1;YML021C
DDR2 CDS;0,921118684;-0,076660252;0,697107026;DDR2;YOL052C-A
LOS1 CDS;0,921317268;-0,059534724;0,698047556;LOS1;YKL205W
hypothetical protein CDS;0,921365727;0,098222603;0,698589822;;YBL044W
MSC3 CDS;0,921365727;0,079606135;0,698514193;MSC3;YLR219W
WWM1 CDS;0,921365727;-0,062116479;0,698471633;WWM1;YFL010C
NSA2 CDS;0,921365727;-0,070382175;0,698704929;NSA2;YER126C
HSP26 CDS;0,921619833;0,078026357;0,700182799;HSP26;YBR072W
hypothetical protein CDS;0,921619833;0,071210126;0,699390249;;YPR098C
KSP1 CDS;0,921619833;0,067074295;0,699417306;KSP1;YHR082C
MCX1 CDS;0,921619833;0,059427408;0,700180344;MCX1;YBR227C
UBA2 CDS;0,921619833;0,05859647;0,699951739;UBA2;YDR390C
ESF2 CDS;0,921619833;-0,058285432;0,700373247;ESF2;YNR054C
CAF130 CDS;0,921619833;-0,059208661;0,700568417;CAF130;YGR134W
UTP8 CDS;0,921619833;-0,063542866;0,70011166;UTP8;YGR128C
TRX3 CDS;0,921619833;-0,06511365;0,700604905;TRX3;YCR083W
hypothetical protein CDS;0,921619833;-0,076568194;0,699336365;;YNL284C-A
SSA3 CDS;0,921619833;-0,079970116;0,699902505;SSA3;YBL075C
hypothetical protein CDS;0,921897883;-0,066349816;0,70097153;;YML053C
hypothetical protein CDS;0,922482701;-0,057172533;0,701571552;;YFL034W
RRP36 CDS;0,922517159;-0,077010905;0,701753116;RRP36;YOR287C
SWT21 CDS;0,922796261;0,058739213;0,702431643;SWT21;YNL187W
PAP1 CDS;0,922796261;-0,05945329;0,702164621;PAP1;YKR002W
PBP1 CDS;0,922796261;-0,062135005;0,702314097;PBP1;YGR178C
MST28 CDS;0,923161589;-0,06927545;0,702865198;MST28;YAR033W
NDD1 CDS;0,923667855;0,069551685;0,705634958;NDD1;YOR372C
IDS2 CDS;0,923667855;0,068365431;0,704522562;IDS2;YJL146W
MDM38 CDS;0,923667855;0,067625765;0,705188302;MDM38;YOL027C
SKN7 CDS;0,923667855;0,066290626;0,70465037;SKN7;YHR206W
SSE1 CDS;0,923667855;0,059819485;0,705211578;SSE1;YPL106C
SEY1 CDS;0,923667855;0,058839583;0,704482708;SEY1;YOR165W
PHA2 CDS;0,923667855;0,058541644;0,704537291;PHA2;YNL316C
CEG1 CDS;0,923667855;0,055494972;0,705895037;CEG1;YGL130W
YCP4 CDS;0,923667855;-0,05503734;0,705463999;YCP4;YCR004C
PIG1 CDS;0,923667855;-0,0593858;0,705745985;PIG1;YLR273C
SAP30 CDS;0,923667855;-0,062654789;0,703931555;SAP30;YMR263W
SPT7 CDS;0,923667855;-0,066385465;0,705499102;SPT7;YBR081C
hypothetical protein CDS;0,923667855;-0,070738058;0,704062913;;YCR075W-A
hypothetical protein CDS;0,923667855;-0,074242565;0,70543305;;YNL143C
RRG7 CDS;0,923667855;-0,076848429;0,703952163;RRG7;YOR305W
MRPL7 CDS;0,923667855;-0,080767306;0,705086577;MRPL7;YDR237W
YMC2 CDS;0,923667855;-0,086379906;0,704889233;YMC2;YBR104W
YAP1 CDS;0,92391247;0,065065855;0,706704352;YAP1;YML007W
NOT3 CDS;0,92391247;-0,055833317;0,706436111;NOT3;YIL038C
COA4 CDS;0,92391247;-0,059306086;0,706428211;COA4;YLR218C
VMA2 CDS;0,92391247;-0,068336087;0,706581727;VMA2;YBR127C
hypothetical protein CDS;0,924098564;-0,063303425;0,70700232;;YHR035W
SPT10 CDS;0,924152942;0,071609948;0,707340619;SPT10;YJL127C
SOF1 CDS;0,924379929;-0,065443364;0,707808232;SOF1;YLL011W
SPT23 CDS;0,924379929;-0,07275633;0,707840272;SPT23;YKL020C
INP51 CDS;0,924866941;0,056272509;0,708524708;INP51;YIL002C
AIM22 CDS;0,924866941;-0,064454134;0,708376767;AIM22;YJL046W
RTC1 CDS;0,92501248;0,065468571;0,708791981;RTC1;YOL138C
JNM1 CDS;0,925025166;0,059110134;0,709657143;JNM1;YMR294W
VPS38 CDS;0,925025166;0,056621047;0,710149605;VPS38;YLR360W
SMA2 CDS;0,925025166;-0,058432002;0,710203727;SMA2;YML066C
RER1 CDS;0,925025166;-0,059218246;0,709635063;RER1;YCL001W
PTC1 CDS;0,925025166;-0,061023228;0,709953855;PTC1;YDL006W
AIM5 CDS;0,925025166;-0,068434033;0,709904824;AIM5;YBR262C
ECM31 CDS;0,925025166;-0,06988874;0,710065964;ECM31;YBR176W
MHT1 CDS;0,925025166;-0,070770116;0,709433425;MHT1;YLL062C
ERD2 CDS;0,925025166;-0,087412929;0,710086472;ERD2;YBL040C
TPK1 CDS;0,925079302;0,068289831;0,710912836;TPK1;YJL164C
KRE29 CDS;0,925079302;0,060848625;0,711010661;KRE29;YER038C
CAK1 CDS;0,925079302;0,058022788;0,7104742;CAK1;YFL029C
GPI10 CDS;0,925079302;0,056848073;0,710606607;GPI10;YGL142C
OCA5 CDS;0,925079302;-0,061305794;0,71110006;OCA5;YHL029C
hypothetical protein CDS;0,925079302;-0,065091574;0,711180029;;YDR461C-A
PEX4 CDS;0,925227636;0,061038942;0,713325595;PEX4;YGR133W
TPO4 CDS;0,925227636;0,059346751;0,71320084;TPO4;YOR273C
MAF1 CDS;0,925227636;0,059214395;0,712916216;MAF1;YDR005C
DAL2 CDS;0,925227636;0,058684152;0,712093729;DAL2;YIR029W
ACF2 CDS;0,925227636;0,058426584;0,711953171;ACF2;YLR144C
CTR9 CDS;0,925227636;-0,054845248;0,71183008;CTR9;YOL145C
CTL1 CDS;0,925227636;-0,056933528;0,712462304;CTL1;YMR180C
LCB3 CDS;0,925227636;-0,05716077;0,712767523;LCB3;YJL134W
YEA4 CDS;0,925227636;-0,057344286;0,711745207;YEA4;YEL004W
GPB2 CDS;0,925227636;-0,058966662;0,713475471;GPB2;YAL056W
hypothetical protein CDS;0,925227636;-0,063377157;0,713217972;;YDL144C
TOS8 CDS;0,925227636;-0,067073496;0,712000074;TOS8;YGL096W
CLB2 CDS;0,925227636;-0,068239637;0,71331511;CLB2;YPR119W
ADH1 CDS;0,925227636;-0,074324864;0,713233717;ADH1;YOL086C
RPC37 CDS;0,925270139;0,056801789;0,71381989;RPC37;YKR025W
hypothetical protein CDS;0,925270139;-0,062733584;0,713806137;;YOR020W-A
AZR1 CDS;0,925559156;0,066709477;0,714479462;AZR1;YGR224W
NFI1 CDS;0,925559156;0,061861814;0,714378803;NFI1;YOR156C
APP1 CDS;0,925559156;0,058125765;0,714556962;APP1;YNL094W
YOR1 CDS;0,925559156;0,057891383;0,714666341;YOR1;YGR281W
PRY3 CDS;0,926085509;0,065198429;0,715518953;PRY3;YJL078C
TWF1 CDS;0,926085509;0,055740536;0,715540639;TWF1;YGR080W
NDE2 CDS;0,926085509;-0,07069641;0,715302104;NDE2;YDL085W
ADP1 CDS;0,926602652;0,059582288;0,716096256;ADP1;YCR011C
FKS3 CDS;0,927077135;0,068880939;0,717888796;FKS3;YMR306W
COX18 CDS;0,927077135;0,064468044;0,717742704;COX18;YGR062C
hypothetical protein CDS;0,927077135;0,063690496;0,718267046;;YNR063W
CCW14 CDS;0,927077135;0,057149505;0,718648712;CCW14;YLR390W-A
YAP3 CDS;0,927077135;0,056663777;0,718634892;YAP3;YHL009C
PWP1 CDS;0,927077135;0,055774857;0,718310533;PWP1;YLR196W
SEC13 CDS;0,927077135;-0,052849442;0,718125605;SEC13;YLR208W
GPH1 CDS;0,927077135;-0,055481232;0,717754919;GPH1;YPR160W
MSH5 CDS;0,927077135;-0,056214069;0,716770081;MSH5;YDL154W
hypothetical protein CDS;0,927077135;-0,05668334;0,718594665;;YPR117W
ENV9 CDS;0,927077135;-0,058957079;0,717956332;ENV9;YOR246C
OCT1 CDS;0,927077135;-0,060578941;0,718006774;01-Οκτ;YKL134C
PAU12 CDS;0,927077135;-0,071736082;0,71694008;PAU12;YGR294W
hypothetical protein CDS;0,927077135;-0,07989742;0,716999325;;YCR101C
RKR1 CDS;0,927371688;-0,066964878;0,719033218;RKR1;YMR247C
ARP7 CDS;0,927939226;-0,055673161;0,719629528;ARP7;YPR034W
DGR2 CDS;0,928686562;0,055179963;0,720521891;DGR2;YKL121W
MATALPHA2 CDS;0,928686562;-0,058418502;0,720445552;MATALPHA2;YCR039C
NVJ1 CDS;0,928754174;-0,061009994;0,720730757;NVJ1;YHR195W
MSH1 CDS;0,928816528;0,059585257;0,721717659;MSH1;YHR120W
PEX5 CDS;0,928816528;0,055733114;0,721446376;PEX5;YDR244W
VAN1 CDS;0,928816528;0,053563361;0,721623281;VAN1;YML115C
NAT1 CDS;0,928816528;0,052141112;0,72152742;NAT1;YDL040C
RRG1 CDS;0,928816528;-0,058991305;0,72118572;RRG1;YDR065W
SNU23 CDS;0,928816528;-0,063849601;0,72098063;SNU23;YDL098C
DEP1 CDS;0,928898079;0,068643003;0,722406758;DEP1;YAL013W
ERP1 CDS;0,928898079;0,056406846;0,722116524;ERP1;YAR002C-A
SEN54 CDS;0,928898079;-0,053388199;0,722254114;SEN54;YPL083C
ATP25 CDS;0,928898079;-0,059637209;0,722372887;ATP25;YMR098C
MLH2 CDS;0,929051405;0,061624864;0,722830402;MLH2;YLR035C
IRC25 CDS;0,929051405;0,053415194;0,722838917;IRC25;YLR021W
hypothetical protein CDS;0,929848337;0,084918052;0,72388657;;YBR072C-A
USB1 CDS;0,929848337;0,065987621;0,724085334;USB1;YLR132C
ATG31 CDS;0,929848337;0,062400348;0,724012801;ATG31;YDR022C
RAD33 CDS;0,929848337;0,060182214;0,723930564;RAD33;YML011C
hypothetical protein CDS;0,929950273;0,084856725;0,731231074;;YMR001C-A
hypothetical protein CDS;0,929950273;0,08131101;0,731799367;;YAL064W-B
ECM12 CDS;0,929950273;0,07777534;0,730224119;ECM12;YHR021W-A
COS2 CDS;0,929950273;0,072440583;0,731924022;COS2;YBR302C
hypothetical protein CDS;0,929950273;0,070884839;0,729989482;;YLR462W
LEE1 CDS;0,929950273;0,066540331;0,733188238;LEE1;YPL054W
BNI1 CDS;0,929950273;0,063627217;0,728906832;BNI1;YNL271C
PEX1 CDS;0,929950273;0,062707955;0,728555718;PEX1;YKL197C
ATG32 CDS;0,929950273;0,06262694;0,729987877;ATG32;YIL146C
GUF1 CDS;0,929950273;0,062489454;0,728014092;GUF1;YLR289W
SNX3 CDS;0,929950273;0,061864324;0,72696034;SNX3;YOR357C
CDH1 CDS;0,929950273;0,061533424;0,729127802;CDH1;YGL003C
SFT1 CDS;0,929950273;0,061522628;0,733283121;SFT1;YKL006C-A
BCK1 CDS;0,929950273;0,061491381;0,729426609;BCK1;YJL095W
UBC5 CDS;0,929950273;0,061286065;0,728480659;UBC5;YDR059C
LRP1 CDS;0,929950273;0,060085462;0,727063913;LRP1;YHR081W
CSF1 CDS;0,929950273;0,059347889;0,730761265;CSF1;YLR087C
GPI13 CDS;0,929950273;0,059004202;0,731684227;GPI13;YLL031C
hypothetical protein CDS;0,929950273;0,058375228;0,729219467;;YML003W
KIN2 CDS;0,929950273;0,057760473;0,733555988;KIN2;YLR096W
CDC20 CDS;0,929950273;0,057556251;0,72724625;CDC20;YGL116W
VTA1 CDS;0,929950273;0,057129496;0,733332656;VTA1;YLR181C
ECM16 CDS;0,929950273;0,0566113;0,730142274;ECM16;YMR128W
ECM14 CDS;0,929950273;0,056567825;0,730849328;ECM14;YHR132C
SPC34 CDS;0,929950273;0,055463285;0,724469302;SPC34;YKR037C
VPS8 CDS;0,929950273;0,05538898;0,73203798;VPS8;YAL002W
CDC34 CDS;0,929950273;0,055240664;0,727564431;CDC34;YDR054C
DUF1 CDS;0,929950273;0,055223086;0,72754149;DUF1;YOL087C
SUV3 CDS;0,929950273;0,054966817;0,732784459;SUV3;YPL029W
TTI2 CDS;0,929950273;0,054588295;0,726869084;TTI2;YJR136C
RIB1 CDS;0,929950273;0,05387297;0,730812474;RIB1;YBL033C
RNH201 CDS;0,929950273;0,05320597;0,728482535;RNH201;YNL072W
hypothetical protein CDS;0,929950273;0,052074489;0,732092271;;YDL180W
hypothetical protein CDS;0,929950273;0,05171095;0,732641315;;YDR061W
TRM732 CDS;0,929950273;0,051166381;0,732139374;TRM732;YMR259C
DNM1 CDS;0,929950273;-0,051369487;0,726893941;DNM1;YLL001W
NIC96 CDS;0,929950273;-0,051427792;0,732638945;NIC96;YFR002W
DPB4 CDS;0,929950273;-0,051878887;0,730019816;DPB4;YDR121W
VMA13 CDS;0,929950273;-0,052248402;0,724813541;VMA13;YPR036W
CDC43 CDS;0,929950273;-0,052271222;0,729210093;CDC43;YGL155W
SPO14 CDS;0,929950273;-0,053256488;0,731292697;SPO14;YKR031C
SWI1 CDS;0,929950273;-0,05546768;0,726824418;SWI1;YPL016W
FRE7 CDS;0,929950273;-0,055670343;0,7277345;FRE7;YOL152W
COX11 CDS;0,929950273;-0,056887153;0,730759855;COX11;YPL132W
HHT2 CDS;0,929950273;-0,057361101;0,726852607;HHT2;YNL031C
QRI5 CDS;0,929950273;-0,058972637;0,725996925;QRI5;YLR204W
PEX3 CDS;0,929950273;-0,059493454;0,733252374;PEX3;YDR329C
VPS52 CDS;0,929950273;-0,059588651;0,731684941;VPS52;YDR484W
SIT1 CDS;0,929950273;-0,059719979;0,733038525;SIT1;YEL065W
SPB1 CDS;0,929950273;-0,060106794;0,731333491;SPB1;YCL054W
AST2 CDS;0,929950273;-0,060306565;0,732784522;AST2;YER101C
GPI11 CDS;0,929950273;-0,06148708;0,73260144;GPI11;YDR302W
GGA1 CDS;0,929950273;-0,064107792;0,733561314;GGA1;YDR358W
CDC39 CDS;0,929950273;-0,064631291;0,727332806;CDC39;YCR093W
HSK3 CDS;0,929950273;-0,064968549;0,726384081;HSK3;YKL138C-A
GAR1 CDS;0,929950273;-0,06572313;0,73253741;GAR1;YHR089C
PPT2 CDS;0,929950273;-0,067068841;0,733110264;PPT2;YPL148C
TRR2 CDS;0,929950273;-0,070600114;0,727206174;TRR2;YHR106W
RTG1 CDS;0,929950273;-0,07132452;0,733131629;RTG1;YOL067C
hypothetical protein CDS;0,929950273;-0,075586471;0,728714483;;YDR114C
PFK26 CDS;0,930297789;0,0621896;0,733992109;PFK26;YIL107C
NCR1 CDS;0,930444492;0,053484103;0,734264548;NCR1;YPL006W
RLM1 CDS;0,930910582;0,054909427;0,734892431;RLM1;YPL089C
